date,output_kWh,temp,irradiance,cloud_cover
8/10/2024 0:00,325,21.1,6,33
8/11/2024 0:00,339,21.1,6,33
8/12/2024 0:00,309,21.1,6,33
8/13/2024 0:00,319,21.1,6,33
8/14/2024 0:00,276,21.1,6,33
8/15/2024 0:00,171,20.6,6,33
8/16/2024 0:00,222,20.6,6,33
8/17/2024 0:00,187,20.6,6,33
8/18/2024 0:00,313,20.6,6,33
8/19/2024 0:00,300,20.6,6,33
8/20/2024 0:00,209,20.6,6,33
8/21/2024 0:00,332,20,6,33
8/22/2024 0:00,126,20,6,33
8/23/2024 0:00,105,20,6,33
8/24/2024 0:00,322,20,6,33
8/25/2024 0:00,190,20,6,33
8/26/2024 0:00,231,19.4,6,33
8/27/2024 0:00,76.2,19.4,6,33
8/28/2024 0:00,80.7,19.4,6,33
8/29/2024 0:00,142,18.9,6,33
8/30/2024 0:00,333,18.9,6,33
8/31/2024 0:00,334,18.9,6,33
9/1/2024 0:00,329,18.9,4.6,35
9/2/2024 0:00,325,18.9,4.6,35
9/3/2024 0:00,310,18.3,4.6,35
9/4/2024 0:00,311,18.3,4.6,35
9/5/2024 0:00,239,18.3,4.6,35
9/6/2024 0:00,242,17.8,4.6,35
9/7/2024 0:00,314,17.8,4.6,35
9/8/2024 0:00,288,17.8,4.6,35
9/9/2024 0:00,296,17.2,4.6,35
9/10/2024 0:00,208,17.2,4.6,35
9/11/2024 0:00,281,17.2,4.6,35
9/12/2024 0:00,284,16.7,4.6,35
9/13/2024 0:00,305,16.7,4.6,35
9/14/2024 0:00,114,16.1,4.6,35
9/15/2024 0:00,240,16.1,4.6,35
9/16/2024 0:00,262,16.1,4.6,35
9/17/2024 0:00,261,15.6,4.6,35
9/18/2024 0:00,205,15.6,4.6,35
9/19/2024 0:00,167,15,4.6,35
9/20/2024 0:00,317,15,4.6,35
9/21/2024 0:00,115,14.4,4.6,35
9/22/2024 0:00,314,14.4,4.6,35
9/23/2024 0:00,312,14.4,4.6,35
9/24/2024 0:00,266,13.9,4.6,35
9/25/2024 0:00,307,13.9,4.6,35
9/26/2024 0:00,304,13.3,4.6,35
9/27/2024 0:00,299,13.3,4.6,35
9/28/2024 0:00,302,12.8,4.6,35
9/29/2024 0:00,306,12.2,4.6,35
9/30/2024 0:00,256,12.2,4.6,35
10/1/2024 0:00,279,12.2,3,45
10/2/2024 0:00,292,12.2,3,45
10/3/2024 0:00,113,11.7,3,45
10/4/2024 0:00,304,11.7,3,45
10/5/2024 0:00,199,11.1,3,45
10/6/2024 0:00,255,11.1,3,45
10/7/2024 0:00,260,10.6,3,45
10/8/2024 0:00,292,10.6,3,45
10/9/2024 0:00,288,10.6,3,45
10/10/2024 0:00,262,10,3,45
10/11/2024 0:00,262,10,3,45
10/12/2024 0:00,123,9.4,3,45
10/13/2024 0:00,71.8,9.4,3,45
10/14/2024 0:00,173,8.9,3,45
10/15/2024 0:00,298,8.9,3,45
10/16/2024 0:00,298,8.9,3,45
10/17/2024 0:00,275,8.3,3,45
10/18/2024 0:00,253,8.3,3,45
10/19/2024 0:00,25.3,7.8,3,45
10/20/2024 0:00,267,7.8,3,45
10/21/2024 0:00,217,7.2,3,45
10/22/2024 0:00,177,7.2,3,45
10/23/2024 0:00,277,7.2,3,45
10/24/2024 0:00,50,6.7,3,45
10/25/2024 0:00,280,6.7,3,45
10/26/2024 0:00,240,6.1,3,45
10/27/2024 0:00,238,6.1,3,45
10/28/2024 0:00,198,5.6,3,45
10/29/2024 0:00,97,5.6,3,45
10/30/2024 0:00,17.9,5,3,45
10/31/2024 0:00,14,5,3,45
11/1/2024 0:00,214,4.4,1.9,51
11/2/2024 0:00,245,4.4,1.9,51
11/3/2024 0:00,12.7,3.9,1.9,51
11/4/2024 0:00,21.4,3.9,1.9,51
11/5/2024 0:00,12.8,3.3,1.9,51
11/6/2024 0:00,216,3.3,1.9,51
11/7/2024 0:00,127,2.8,1.9,51
11/8/2024 0:00,254,2.8,1.9,51
11/9/2024 0:00,46.9,2.2,1.9,51
11/10/2024 0:00,50.4,2.2,1.9,51
11/11/2024 0:00,263,1.7,1.9,51
11/12/2024 0:00,261,1.7,1.9,51
11/13/2024 0:00,22.6,1.1,1.9,51
11/14/2024 0:00,25.4,1.1,1.9,51
11/15/2024 0:00,206,0.6,1.9,51
11/16/2024 0:00,73.9,0.6,1.9,51
11/17/2024 0:00,210,0,1.9,51
11/18/2024 0:00,143,0,1.9,51
11/19/2024 0:00,17.4,-0.6,1.9,51
11/20/2024 0:00,36.2,-0.6,1.9,51
11/21/2024 0:00,66.3,-1.1,1.9,51
11/22/2024 0:00,66.4,-1.1,1.9,51
11/23/2024 0:00,32.5,-1.7,1.9,51
11/24/2024 0:00,91.2,-2.2,1.9,51
11/25/2024 0:00,55.4,-2.2,1.9,51
11/26/2024 0:00,45.9,-2.8,1.9,51
11/27/2024 0:00,20.5,-2.8,1.9,51
11/28/2024 0:00,39,-3.3,1.9,51
11/29/2024 0:00,88.2,-3.3,1.9,51
11/30/2024 0:00,242,-3.9,1.9,51
12/1/2024 0:00,58.5,-3.9,1.4,66
12/2/2024 0:00,28.9,-4.4,1.4,66
12/3/2024 0:00,37.9,-4.4,1.4,66
12/4/2024 0:00,57.2,-4.4,1.4,66
12/5/2024 0:00,211,-5,1.4,66
12/6/2024 0:00,25.2,-5,1.4,66
12/7/2024 0:00,90.3,-5.6,1.4,66
12/8/2024 0:00,9,-5.6,1.4,66
12/9/2024 0:00,51,-6.1,1.4,66
12/10/2024 0:00,31.4,-6.1,1.4,66
12/11/2024 0:00,154,-6.1,1.4,66
12/12/2024 0:00,223,-6.7,1.4,66
12/13/2024 0:00,209,-6.7,1.4,66
12/14/2024 0:00,10.9,-7.2,1.4,66
12/15/2024 0:00,13.2,-7.2,1.4,66
12/16/2024 0:00,13.8,-7.2,1.4,66
12/17/2024 0:00,28.4,-7.8,1.4,66
12/18/2024 0:00,39.3,-7.8,1.4,66
12/19/2024 0:00,25.6,-7.8,1.4,66
12/20/2024 0:00,59.4,-8.3,1.4,66
12/21/2024 0:00,22.2,-8.3,1.4,66
12/22/2024 0:00,130,-8.3,1.4,66
12/23/2024 0:00,67.9,-8.3,1.4,66
12/24/2024 0:00,14.8,-8.9,1.4,66
12/25/2024 0:00,16.6,-8.9,1.4,66
12/26/2024 0:00,22.2,-8.9,1.4,66
12/27/2024 0:00,9.69,-9.4,1.4,66
12/28/2024 0:00,110,-9.4,1.4,66
12/29/2024 0:00,25.2,-9.4,1.4,66
12/30/2024 0:00,16.7,-9.4,1.4,66
12/31/2024 0:00,10.3,-9.4,1.4,66
1/1/2025 0:00,30.4,-10,1.7,68
1/2/2025 0:00,176,-10,1.7,68
1/3/2025 0:00,228,-10,1.7,68
1/4/2025 0:00,237,-10,1.7,68
1/5/2025 0:00,217,-10,1.7,68
1/6/2025 0:00,241,-10.6,1.7,68
1/7/2025 0:00,116,-10.6,1.7,68
1/8/2025 0:00,225,-10.6,1.7,68
1/9/2025 0:00,72.5,-10.6,1.7,68
1/10/2025 0:00,6.6,-10.6,1.7,68
1/11/2025 0:00,12.7,-10.6,1.7,68
1/12/2025 0:00,12.7,-10.6,1.7,68
1/13/2025 0:00,22.1,-10.6,1.7,68
1/14/2025 0:00,38.8,-11.1,1.7,68
1/15/2025 0:00,12.4,-11.1,1.7,68
1/16/2025 0:00,139,-11.1,1.7,68
1/17/2025 0:00,59,-11.1,1.7,68
1/18/2025 0:00,265,-11.1,1.7,68
1/19/2025 0:00,261,-11.1,1.7,68
1/20/2025 0:00,234,-11.1,1.7,68
1/21/2025 0:00,249,-11.1,1.7,68
1/22/2025 0:00,54.1,-11.1,1.7,68
1/23/2025 0:00,272,-11.1,1.7,68
1/24/2025 0:00,87.2,-11.1,1.7,68
1/25/2025 0:00,171,-11.1,1.7,68
1/26/2025 0:00,219,-11.1,1.7,68
1/27/2025 0:00,101,-10.6,1.7,68
1/28/2025 0:00,217,-10.6,1.7,68
1/29/2025 0:00,155,-10.6,1.7,68
1/30/2025 0:00,263,-10.6,1.7,68
1/31/2025 0:00,269,-10.6,1.7,68
2/1/2025 0:00,22.7,-10.6,2.7,66
2/2/2025 0:00,143,-10.6,2.7,66
2/3/2025 0:00,23.8,-10,2.7,66
2/4/2025 0:00,30.2,-10,2.7,66
2/5/2025 0:00,63.6,-10,2.7,66
2/6/2025 0:00,167,-10,2.7,66
2/7/2025 0:00,149,-9.4,2.7,66
2/8/2025 0:00,22.6,-9.4,2.7,66
2/9/2025 0:00,47.8,-9.4,2.7,66
2/10/2025 0:00,48.2,-9.4,2.7,66
2/11/2025 0:00,66.4,-8.9,2.7,66
2/12/2025 0:00,39.3,-8.9,2.7,66
2/13/2025 0:00,27.7,-8.9,2.7,66
